0,1,2,3,4,5,6
Pré-Treino,Growth,86.98,70,Sudeste,2024-01-24,4
Hiper Calórico,Growth,153.56,110,Sudeste,2024-01-06,10
Creatina,Integral Médica,66.56,52,Sul,2024-02-21,5
Whey,Growth,114.86,90,Sul,2024-01-26,6
Pré-Treino,Dark Lab,131.43,85,Norte,2024-02-10,6
Creatina,Growth,63.8,50,Sul,2024-01-05,7
BCAA,Growth,77.7,60,Centro-Oeste,2024-02-04,1
Hiper Calórico,Integral Médica,139.55,112,Sudeste,2024-01-24,5
BCAA,Probiótica,75.77,63,Sul,2024-01-22,10
Creatina,Max Titanium,80.74,55,Norte,2024-01-10,3
Whey,Max Titanium,154.94,95,Norte,2024-01-10,1
Pré-Treino,Max Titanium,91.44,75,Sudeste,2024-02-27,8
Whey,Probiótica,125.86,93,Sudeste,2024-02-27,5
Pré-Treino,Dark Lab,111.08,85,Sul,2024-02-25,2
Creatina,Growth,74.26,50,Nordeste,2024-01-01,1
Pré-Treino,Probiótica,100.01,73,Nordeste,2024-01-24,1
Whey,Max Titanium,159.79,95,Norte,2024-01-18,7
Whey,Integral Médica,107.6,92,Sul,2024-01-02,9
Whey,Integral Médica,120.33,92,Sudeste,2024-03-01,1
BCAA,Probiótica,87.64,63,Norte,2024-02-18,8
Hiper Calórico,Max Titanium,148.72,115,Centro-Oeste,2024-01-18,2
Whey,Dark Lab,126.17,100,Centro-Oeste,2024-01-31,10
Creatina,Growth,71.36,50,Nordeste,2024-02-02,8
Pré-Treino,Dark Lab,133.66,85,Centro-Oeste,2024-01-16,10
Pré-Treino,Integral Médica,97.2,72,Sul,2024-01-19,4
Pré-Treino,Max Titanium,104.15,75,Nordeste,2024-01-20,10
BCAA,Growth,93.45,60,Norte,2024-02-14,10
BCAA,Probiótica,90.47,63,Sudeste,2024-02-12,3
Hiper Calórico,Max Titanium,181.6,115,Norte,2024-02-24,8
Creatina,Probiótica,89.03,53,Norte,2024-01-02,10
Hiper Calórico,Integral Médica,172.6,112,Centro-Oeste,2024-02-08,3
Hiper Calórico,Probiótica,138.8,113,Sudeste,2024-01-20,6
Creatina,Growth,79.35,50,Nordeste,2024-02-14,1
BCAA,Integral Médica,86.83,62,Nordeste,2024-01-30,1
Creatina,Dark Lab,83.82,60,Norte,2024-01-27,2
BCAA,Integral Médica,84.83,62,Sul,2024-01-31,9
Whey,Dark Lab,170.68,100,Norte,2024-02-07,2
Hiper Calórico,Growth,180.62,110,Norte,2024-01-17,1
Whey,Integral Médica,150.24,92,Norte,2024-01-31,1
Hiper Calórico,Probiótica,181.31,113,Norte,2024-02-24,8
Pré-Treino,Integral Médica,120.7,72,Norte,2024-01-16,7
Creatina,Max Titanium,91.95,55,Norte,2024-01-06,3
Whey,Integral Médica,110.77,92,Sudeste,2024-02-22,9
BCAA,Dark Lab,93.81,70,Nordeste,2024-02-14,9
Hiper Calórico,Integral Médica,192.01,112,Norte,2024-02-19,1
Pré-Treino,Integral Médica,97.7,72,Nordeste,2024-02-23,5
Pré-Treino,Integral Médica,98.66,72,Nordeste,2024-02-05,1
Pré-Treino,Dark Lab,137.63,85,Norte,2024-01-12,7
Whey,Dark Lab,142.32,100,Norte,2024-02-09,8
Pré-Treino,Dark Lab,135.4,85,Nordeste,2024-01-21,8
Pré-Treino,Growth,94.93,70,Nordeste,2024-02-29,10
BCAA,Integral Médica,102.57,62,Norte,2024-02-23,6
Whey,Dark Lab,136.18,100,Sul,2024-01-14,7
Hiper Calórico,Growth,137.37,110,Sul,2024-02-09,9
Creatina,Dark Lab,82.34,60,Nordeste,2024-02-11,5
Whey,Integral Médica,120.64,92,Sudeste,2024-01-29,3
Pré-Treino,Probiótica,83.41,73,Sul,2024-02-28,2
Pré-Treino,Dark Lab,134.47,85,Norte,2024-02-01,3
Pré-Treino,Max Titanium,105.64,75,Norte,2024-01-31,5
Whey,Integral Médica,128.59,92,Norte,2024-02-13,3
BCAA,Max Titanium,96.05,65,Centro-Oeste,2024-01-07,7
Hiper Calórico,Growth,176.76,110,Nordeste,2024-01-16,8
BCAA,Max Titanium,76.43,65,Sul,2024-02-21,5
BCAA,Dark Lab,102.22,70,Centro-Oeste,2024-02-18,9
Whey,Growth,126.14,90,Sul,2024-02-19,9
Creatina,Dark Lab,80.05,60,Centro-Oeste,2024-02-20,7
Hiper Calórico,Max Titanium,144.56,115,Sudeste,2024-01-10,5
Creatina,Integral Médica,63.82,52,Sul,2024-01-20,4
Creatina,Integral Médica,60.2,52,Sul,2024-01-22,5
Hiper Calórico,Growth,172.96,110,Norte,2024-02-03,8
BCAA,Probiótica,103.68,63,Nordeste,2024-01-06,9
Hiper Calórico,Growth,178.77,110,Norte,2024-01-05,6
Whey,Integral Médica,141.87,92,Centro-Oeste,2024-01-13,5
Creatina,Max Titanium,69.94,55,Sul,2024-01-29,6
Pré-Treino,Integral Médica,117.23,72,Nordeste,2024-02-06,7
Creatina,Growth,75.38,50,Centro-Oeste,2024-02-08,10
Pré-Treino,Max Titanium,95.24,75,Sudeste,2024-02-15,7
BCAA,Integral Médica,82.26,62,Sudeste,2024-01-27,5
BCAA,Probiótica,75.36,63,Sul,2024-01-29,5
Creatina,Dark Lab,82.31,60,Sul,2024-02-27,5
Whey,Probiótica,136.36,93,Nordeste,2024-02-20,9
Whey,Max Titanium,124.74,95,Sul,2024-02-21,10
Hiper Calórico,Max Titanium,179.44,115,Centro-Oeste,2024-01-27,5
Pré-Treino,Max Titanium,111.77,75,Nordeste,2024-01-11,5
Whey,Growth,111.88,90,Sul,2024-01-22,4
Pré-Treino,Integral Médica,121.02,72,Norte,2024-02-29,1
BCAA,Dark Lab,99.4,70,Norte,2024-01-03,1
Pré-Treino,Max Titanium,115.76,75,Nordeste,2024-01-01,1
Creatina,Dark Lab,79.87,60,Sudeste,2024-02-08,8
Hiper Calórico,Max Titanium,152.46,115,Sudeste,2024-01-11,7
Whey,Max Titanium,119.7,95,Centro-Oeste,2024-01-02,5
Creatina,Probiótica,83.7,53,Norte,2024-02-29,4
Whey,Growth,135.17,90,Centro-Oeste,2024-02-25,7
Hiper Calórico,Growth,172.82,110,Nordeste,2024-02-27,8
Whey,Dark Lab,135.85,100,Sudeste,2024-01-19,2
Pré-Treino,Dark Lab,129.23,85,Centro-Oeste,2024-02-03,2
Whey,Probiótica,126.71,93,Nordeste,2024-02-08,4
Hiper Calórico,Growth,162.16,110,Centro-Oeste,2024-01-31,3
Pré-Treino,Dark Lab,120.29,85,Nordeste,2024-01-29,4
Hiper Calórico,Probiótica,160.7,113,Norte,2024-01-21,8
Hiper Calórico,Probiótica,173.24,113,Norte,2024-02-07,2
Creatina,Max Titanium,70.48,55,Sul,2024-02-17,7
Pré-Treino,Max Titanium,99.6,75,Sul,2024-01-02,2
Hiper Calórico,Dark Lab,140.17,120,Sul,2024-02-13,8
Creatina,Growth,62.3,50,Sul,2024-01-09,2
BCAA,Dark Lab,117.14,70,Norte,2024-02-09,1
Creatina,Dark Lab,84.22,60,Nordeste,2024-01-19,5
BCAA,Max Titanium,100.51,65,Centro-Oeste,2024-02-13,8
BCAA,Integral Médica,86.06,62,Sul,2024-01-25,8
Whey,Integral Médica,122.69,92,Centro-Oeste,2024-02-08,7
Pré-Treino,Growth,109.2,70,Nordeste,2024-01-13,10
Hiper Calórico,Max Titanium,160.32,115,Centro-Oeste,2024-01-01,8
Creatina,Dark Lab,91.25,60,Centro-Oeste,2024-02-26,10
Hiper Calórico,Dark Lab,155.46,120,Centro-Oeste,2024-01-19,10
Creatina,Integral Médica,72.35,52,Norte,2024-01-22,10
Whey,Integral Médica,118.84,92,Sudeste,2024-01-23,3
BCAA,Integral Médica,88.94,62,Centro-Oeste,2024-02-22,1
Pré-Treino,Integral Médica,115.86,72,Nordeste,2024-01-01,7
BCAA,Probiótica,72.18,63,Sul,2024-02-11,2
Whey,Growth,117.2,90,Centro-Oeste,2024-02-22,9
Pré-Treino,Max Titanium,110.97,75,Sudeste,2024-01-08,3
Creatina,Growth,77.97,50,Nordeste,2024-02-14,7
Whey,Dark Lab,139.89,100,Sul,2024-02-06,2
Creatina,Growth,71.12,50,Nordeste,2024-02-26,7
Pré-Treino,Dark Lab,116.9,85,Sul,2024-01-09,8
Creatina,Max Titanium,69.73,55,Sudeste,2024-02-05,4
Creatina,Growth,60.33,50,Sudeste,2024-01-11,9
BCAA,Growth,78.15,60,Sul,2024-01-15,9
BCAA,Growth,97.56,60,Nordeste,2024-01-04,9
Pré-Treino,Dark Lab,111.06,85,Sul,2024-01-26,2
Whey,Dark Lab,162.34,100,Norte,2024-02-01,4
Pré-Treino,Growth,83.48,70,Sul,2024-01-04,7
BCAA,Probiótica,81.01,63,Sudeste,2024-01-12,2
Hiper Calórico,Max Titanium,138.44,115,Sul,2024-01-29,3
Pré-Treino,Probiótica,93.45,73,Sul,2024-01-06,7
BCAA,Max Titanium,95.05,65,Centro-Oeste,2024-01-28,7
Pré-Treino,Dark Lab,104.2,85,Sudeste,2024-01-07,3
BCAA,Integral Médica,84.21,62,Sul,2024-01-25,6
Whey,Integral Médica,138.48,92,Nordeste,2024-01-07,8
Pré-Treino,Max Titanium,102.5,75,Sudeste,2024-01-19,5
Creatina,Dark Lab,79.86,60,Sul,2024-02-20,9
Pré-Treino,Growth,97.83,70,Norte,2024-01-25,9
Hiper Calórico,Growth,168.53,110,Norte,2024-01-31,1
Hiper Calórico,Max Titanium,166.88,115,Centro-Oeste,2024-02-29,4
Creatina,Growth,68.19,50,Sul,2024-01-27,10
Creatina,Dark Lab,83.73,60,Nordeste,2024-01-30,10
Whey,Growth,144.01,90,Nordeste,2024-01-20,7
BCAA,Probiótica,90.5,63,Norte,2024-01-14,3
Hiper Calórico,Probiótica,190.19,113,Norte,2024-02-17,10
BCAA,Integral Médica,85.81,62,Sudeste,2024-01-19,4
Whey,Growth,135.45,90,Nordeste,2024-01-04,7
Creatina,Integral Médica,73.52,52,Sul,2024-02-10,10
BCAA,Growth,91.85,60,Centro-Oeste,2024-01-13,4
Whey,Max Titanium,134.92,95,Nordeste,2024-02-11,5
Hiper Calórico,Growth,140.57,110,Sul,2024-01-29,1
Pré-Treino,Probiótica,114.04,73,Norte,2024-02-08,1
Whey,Dark Lab,127.34,100,Centro-Oeste,2024-01-30,10
Whey,Max Titanium,124.58,95,Sul,2024-02-09,8
Creatina,Integral Médica,85.45,52,Norte,2024-01-07,6
Whey,Integral Médica,130.9,92,Norte,2024-02-04,3
Hiper Calórico,Growth,173.19,110,Norte,2024-02-26,4
Creatina,Growth,71.9,50,Nordeste,2024-02-22,7
Pré-Treino,Max Titanium,101.18,75,Sul,2024-01-30,2
Hiper Calórico,Max Titanium,146.88,115,Sul,2024-03-01,10
Creatina,Max Titanium,72.15,55,Sudeste,2024-01-29,8
BCAA,Dark Lab,84.4,70,Sul,2024-01-01,7
Whey,Integral Médica,118.78,92,Sul,2024-01-24,4
Hiper Calórico,Dark Lab,137.72,120,Sul,2024-01-04,2
Creatina,Max Titanium,80.54,55,Nordeste,2024-01-22,1
Whey,Max Titanium,138.49,95,Norte,2024-01-06,7
Creatina,Probiótica,62.64,53,Sul,2024-01-03,8
Pré-Treino,Max Titanium,129.01,75,Norte,2024-02-01,9
Creatina,Dark Lab,83.17,60,Centro-Oeste,2024-02-25,6
Creatina,Growth,69.89,50,Norte,2024-02-29,7
Whey,Integral Médica,140.38,92,Norte,2024-01-26,4
Whey,Probiótica,137.56,93,Sudeste,2024-01-04,8
Pré-Treino,Max Titanium,104.36,75,Sul,2024-01-10,10
Creatina,Growth,77.14,50,Centro-Oeste,2024-01-04,6
Hiper Calórico,Growth,132.14,110,Sul,2024-02-22,7
Hiper Calórico,Integral Médica,175.51,112,Norte,2024-01-31,4
BCAA,Dark Lab,82.15,70,Sul,2024-01-13,10
Hiper Calórico,Dark Lab,169.6,120,Centro-Oeste,2024-01-16,5
Hiper Calórico,Max Titanium,147.6,115,Sudeste,2024-01-03,7
Whey,Max Titanium,126.0,95,Sudeste,2024-01-05,3
Hiper Calórico,Growth,171.83,110,Norte,2024-01-07,2
Creatina,Probiótica,70.66,53,Sul,2024-01-28,5
Hiper Calórico,Integral Médica,139.92,112,Sudeste,2024-01-28,8
Creatina,Growth,61.8,50,Sul,2024-02-04,4
BCAA,Dark Lab,80.55,70,Sul,2024-01-05,10
Pré-Treino,Integral Médica,91.1,72,Sul,2024-02-12,9
BCAA,Growth,91.18,60,Norte,2024-01-02,10
Whey,Growth,119.54,90,Sul,2024-02-27,1
Creatina,Max Titanium,78.9,55,Centro-Oeste,2024-01-23,7
Creatina,Integral Médica,76.62,52,Sudeste,2024-02-02,2
Creatina,Integral Médica,71.27,52,Sul,2024-02-19,10
Creatina,Dark Lab,75.14,60,Sul,2024-02-28,10
BCAA,Integral Médica,93.2,62,Nordeste,2024-02-12,7
BCAA,Probiótica,91.17,63,Nordeste,2024-02-18,10
Whey,Dark Lab,116.09,100,Sul,2024-01-19,8
Pré-Treino,Probiótica,110.83,73,Nordeste,2024-01-17,9
Whey,Integral Médica,125.66,92,Nordeste,2024-02-14,3
Pré-Treino,Dark Lab,129.79,85,Centro-Oeste,2024-02-15,2
Whey,Probiótica,131.9,93,Norte,2024-01-13,5
Whey,Max Titanium,151.87,95,Nordeste,2024-01-26,9
Hiper Calórico,Integral Médica,172.16,112,Centro-Oeste,2024-01-27,5
Pré-Treino,Max Titanium,103.55,75,Centro-Oeste,2024-02-25,1
Hiper Calórico,Dark Lab,183.04,120,Nordeste,2024-02-24,8
Pré-Treino,Growth,85.36,70,Sul,2024-01-03,10
Pré-Treino,Dark Lab,119.55,85,Norte,2024-02-03,2
Hiper Calórico,Probiótica,168.53,113,Norte,2024-02-15,7
BCAA,Dark Lab,103.65,70,Centro-Oeste,2024-02-16,8
Pré-Treino,Integral Médica,108.74,72,Norte,2024-02-20,4
Whey,Max Titanium,133.49,95,Nordeste,2024-01-29,3
Whey,Dark Lab,145.28,100,Nordeste,2024-02-26,2
Whey,Dark Lab,143.14,100,Sudeste,2024-01-26,6
Pré-Treino,Integral Médica,103.77,72,Nordeste,2024-01-01,2
Pré-Treino,Dark Lab,112.4,85,Nordeste,2024-01-26,9
Whey,Probiótica,137.11,93,Nordeste,2024-01-26,2
Whey,Probiótica,137.72,93,Sudeste,2024-02-16,6
BCAA,Growth,81.94,60,Sudeste,2024-01-04,10
Hiper Calórico,Probiótica,148.89,113,Sul,2024-01-07,6
BCAA,Growth,84.86,60,Nordeste,2024-02-05,6
Hiper Calórico,Dark Lab,168.93,120,Sul,2024-01-16,8
Creatina,Probiótica,67.33,53,Centro-Oeste,2024-01-16,10
Whey,Dark Lab,132.62,100,Centro-Oeste,2024-01-07,9
Hiper Calórico,Probiótica,168.49,113,Sudeste,2024-02-03,3
Creatina,Probiótica,67.24,53,Sul,2024-01-10,5
BCAA,Growth,93.71,60,Nordeste,2024-02-29,4
BCAA,Integral Médica,86.54,62,Nordeste,2024-01-27,2
Whey,Growth,124.96,90,Sudeste,2024-02-25,10
Pré-Treino,Integral Médica,95.0,72,Sul,2024-02-16,2
Creatina,Probiótica,65.63,53,Sul,2024-02-20,6
BCAA,Integral Médica,83.0,62,Centro-Oeste,2024-01-05,9
BCAA,Max Titanium,86.24,65,Sudeste,2024-02-13,7
Pré-Treino,Integral Médica,120.65,72,Norte,2024-01-12,9
BCAA,Dark Lab,110.01,70,Norte,2024-01-28,9
Pré-Treino,Integral Médica,96.46,72,Nordeste,2024-01-02,6
Hiper Calórico,Max Titanium,138.56,115,Sudeste,2024-02-17,2
Pré-Treino,Integral Médica,113.46,72,Nordeste,2024-01-24,4
Hiper Calórico,Dark Lab,180.25,120,Nordeste,2024-02-05,4
Hiper Calórico,Dark Lab,168.88,120,Sudeste,2024-02-09,6
Whey,Probiótica,114.97,93,Sudeste,2024-01-19,1
Pré-Treino,Probiótica,109.58,73,Norte,2024-01-20,7
Whey,Dark Lab,115.8,100,Sul,2024-02-05,1
Hiper Calórico,Integral Médica,143.14,112,Sudeste,2024-02-20,9
Whey,Growth,148.04,90,Nordeste,2024-01-23,8
Hiper Calórico,Dark Lab,170.51,120,Sudeste,2024-01-10,1
Hiper Calórico,Max Titanium,144.18,115,Sudeste,2024-02-11,3
Hiper Calórico,Probiótica,158.46,113,Centro-Oeste,2024-01-01,8
Pré-Treino,Dark Lab,137.18,85,Nordeste,2024-01-18,6
Whey,Max Titanium,158.33,95,Norte,2024-01-10,8
Pré-Treino,Max Titanium,106.88,75,Nordeste,2024-02-25,5
Creatina,Integral Médica,73.42,52,Nordeste,2024-02-17,10
Whey,Integral Médica,130.73,92,Centro-Oeste,2024-02-10,3
Hiper Calórico,Growth,162.6,110,Norte,2024-01-08,10
Hiper Calórico,Integral Médica,172.17,112,Norte,2024-01-10,6
Whey,Dark Lab,157.8,100,Norte,2024-02-24,10
Whey,Probiótica,132.8,93,Nordeste,2024-01-12,9
Hiper Calórico,Max Titanium,158.19,115,Nordeste,2024-02-24,6
Whey,Dark Lab,141.53,100,Sul,2024-02-02,7
Creatina,Max Titanium,80.62,55,Centro-Oeste,2024-01-04,8
BCAA,Growth,82.91,60,Sul,2024-01-16,2
Creatina,Max Titanium,73.48,55,Sudeste,2024-02-14,6
Hiper Calórico,Integral Médica,161.58,112,Nordeste,2024-02-10,3
Hiper Calórico,Dark Lab,155.03,120,Centro-Oeste,2024-02-09,9
Pré-Treino,Integral Médica,97.22,72,Sudeste,2024-02-11,9
BCAA,Dark Lab,86.56,70,Sul,2024-02-26,2
Whey,Growth,106.9,90,Sul,2024-02-29,8
Pré-Treino,Dark Lab,98.96,85,Sul,2024-02-23,1
Whey,Growth,112.66,90,Sudeste,2024-02-13,3
Creatina,Dark Lab,84.32,60,Centro-Oeste,2024-02-26,10
Whey,Max Titanium,123.98,95,Sul,2024-01-21,3
BCAA,Max Titanium,111.22,65,Norte,2024-02-10,7
Whey,Integral Médica,129.2,92,Nordeste,2024-01-20,2
Hiper Calórico,Max Titanium,192.61,115,Norte,2024-01-03,1
Hiper Calórico,Dark Lab,205.88,120,Norte,2024-02-07,5
BCAA,Growth,101.26,60,Norte,2024-02-08,3
Pré-Treino,Dark Lab,112.83,85,Centro-Oeste,2024-02-18,9
BCAA,Max Titanium,99.64,65,Norte,2024-01-26,5
BCAA,Max Titanium,107.03,65,Norte,2024-02-03,2
BCAA,Integral Médica,71.48,62,Sul,2024-01-29,1
Creatina,Dark Lab,81.8,60,Centro-Oeste,2024-01-17,10
BCAA,Integral Médica,101.11,62,Nordeste,2024-01-22,10
Pré-Treino,Max Titanium,90.58,75,Sul,2024-02-14,6
Pré-Treino,Max Titanium,106.92,75,Sudeste,2024-02-29,10
BCAA,Integral Médica,86.88,62,Nordeste,2024-01-25,5
BCAA,Probiótica,78.7,63,Sul,2024-01-03,5
BCAA,Growth,80.07,60,Sudeste,2024-02-02,9
BCAA,Max Titanium,87.97,65,Sudeste,2024-01-06,7
Pré-Treino,Max Titanium,90.12,75,Sul,2024-01-27,6
BCAA,Integral Médica,87.75,62,Sudeste,2024-02-02,1
Creatina,Integral Médica,73.09,52,Sudeste,2024-01-16,9
Hiper Calórico,Integral Médica,165.89,112,Norte,2024-02-26,7
Hiper Calórico,Max Titanium,173.87,115,Centro-Oeste,2024-02-01,8
Whey,Integral Médica,157.84,92,Norte,2024-02-10,9
BCAA,Probiótica,88.62,63,Sul,2024-01-29,6
Pré-Treino,Max Titanium,103.21,75,Centro-Oeste,2024-02-15,10
Creatina,Growth,84.35,50,Norte,2024-01-22,3
BCAA,Integral Médica,96.1,62,Centro-Oeste,2024-01-28,2
Whey,Integral Médica,113.21,92,Sudeste,2024-02-14,7
Whey,Probiótica,113.16,93,Sudeste,2024-02-21,3
BCAA,Dark Lab,83.7,70,Sul,2024-01-06,3
BCAA,Integral Médica,87.09,62,Sudeste,2024-01-27,2
Pré-Treino,Integral Médica,97.05,72,Sudeste,2024-01-10,1
Pré-Treino,Integral Médica,100.53,72,Centro-Oeste,2024-01-03,4
Whey,Growth,130.23,90,Sudeste,2024-01-12,4
Whey,Max Titanium,108.98,95,Sul,2024-01-10,1
Pré-Treino,Max Titanium,110.88,75,Sudeste,2024-01-11,9
Pré-Treino,Growth,102.91,70,Nordeste,2024-01-02,6
Whey,Probiótica,121.86,93,Sudeste,2024-02-02,8
Hiper Calórico,Growth,168.43,110,Nordeste,2024-01-26,4
Pré-Treino,Dark Lab,118.25,85,Nordeste,2024-01-19,10
Whey,Integral Médica,112.44,92,Sudeste,2024-01-21,1
Creatina,Dark Lab,87.89,60,Nordeste,2024-01-24,6
Whey,Max Titanium,142.84,95,Norte,2024-01-17,9
Hiper Calórico,Max Titanium,149.06,115,Centro-Oeste,2024-01-25,9
BCAA,Growth,84.99,60,Centro-Oeste,2024-02-18,10
Pré-Treino,Max Titanium,94.1,75,Sudeste,2024-01-28,9
Creatina,Growth,84.03,50,Norte,2024-02-19,1
Pré-Treino,Growth,112.01,70,Norte,2024-01-16,5
BCAA,Dark Lab,94.01,70,Centro-Oeste,2024-02-09,10
Creatina,Probiótica,68.24,53,Sudeste,2024-01-26,5
Whey,Growth,142.44,90,Norte,2024-01-20,2
Pré-Treino,Dark Lab,129.91,85,Centro-Oeste,2024-01-31,10
Pré-Treino,Max Titanium,115.04,75,Centro-Oeste,2024-02-01,2
Whey,Probiótica,144.66,93,Norte,2024-01-14,1
Hiper Calórico,Integral Médica,137.77,112,Sudeste,2024-02-22,10
Whey,Growth,110.48,90,Sul,2024-01-27,1
Hiper Calórico,Dark Lab,186.07,120,Norte,2024-01-21,5
Pré-Treino,Max Titanium,119.42,75,Nordeste,2024-02-28,1
Pré-Treino,Growth,99.12,70,Centro-Oeste,2024-01-11,4
Pré-Treino,Dark Lab,120.62,85,Norte,2024-02-22,6
Creatina,Integral Médica,85.25,52,Norte,2024-02-22,4
Whey,Dark Lab,136.92,100,Sudeste,2024-01-13,4
Whey,Probiótica,113.29,93,Sul,2024-02-05,5
Whey,Integral Médica,144.9,92,Centro-Oeste,2024-01-22,3
Creatina,Integral Médica,72.44,52,Centro-Oeste,2024-01-13,9
Hiper Calórico,Max Titanium,146.27,115,Sul,2024-02-02,7
Whey,Max Titanium,125.87,95,Sudeste,2024-01-18,7
Hiper Calórico,Probiótica,159.95,113,Centro-Oeste,2024-01-15,4
Creatina,Integral Médica,76.84,52,Nordeste,2024-01-27,2
Creatina,Probiótica,89.32,53,Norte,2024-02-01,4
Pré-Treino,Dark Lab,115.92,85,Nordeste,2024-01-05,5
Hiper Calórico,Max Titanium,156.03,115,Nordeste,2024-02-25,2
Hiper Calórico,Probiótica,158.79,113,Sul,2024-01-19,5
Hiper Calórico,Integral Médica,149.91,112,Sudeste,2024-02-14,6
Whey,Max Titanium,156.72,95,Norte,2024-01-07,1
BCAA,Dark Lab,87.26,70,Sul,2024-02-28,1
Hiper Calórico,Integral Médica,147.55,112,Sudeste,2024-01-06,9
Whey,Integral Médica,121.99,92,Centro-Oeste,2024-01-16,1
Whey,Dark Lab,141.19,100,Sul,2024-01-21,9
BCAA,Integral Médica,74.61,62,Sul,2024-01-25,8
Creatina,Growth,71.19,50,Centro-Oeste,2024-01-25,4
Creatina,Max Titanium,84.24,55,Norte,2024-01-01,9
Pré-Treino,Dark Lab,113.6,85,Nordeste,2024-02-11,8
Whey,Max Titanium,129.68,95,Centro-Oeste,2024-01-29,5
Pré-Treino,Integral Médica,123.07,72,Norte,2024-02-13,8
Hiper Calórico,Dark Lab,189.05,120,Norte,2024-01-09,5
Whey,Growth,118.03,90,Sul,2024-01-23,2
Whey,Growth,115.18,90,Sudeste,2024-02-11,9
Hiper Calórico,Dark Lab,172.75,120,Centro-Oeste,2024-01-28,7
Pré-Treino,Dark Lab,115.05,85,Sudeste,2024-02-08,1
Hiper Calórico,Growth,137.82,110,Sul,2024-02-11,1
Creatina,Growth,80.99,50,Nordeste,2024-01-31,6
Pré-Treino,Probiótica,112.14,73,Centro-Oeste,2024-02-28,7
Hiper Calórico,Dark Lab,170.44,120,Norte,2024-01-08,7
Whey,Max Titanium,135.51,95,Norte,2024-01-10,7
